filecode,inputLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,TotalQ,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Multi,Codes,1675,Account
09S,50,O,BRCM 18FEB12 32.0 P,BRCM,2012-02-18,32,P,2012-01-20 15:10:06,-22,,CBOE,-2,0.56,112,-1.45,-110.55,0,100,P;O,O,IB9048
09S,51,O,BRCM 18FEB12 33.0 P,BRCM,2012-02-18,33,P,2012-01-20 15:10:06,22,,AMEX,1,0.83,-83,-1.02,84.02,0,100,P;O,O,IB9048
09S,52,O,BRCM 18FEB12 33.0 P,BRCM,2012-02-18,33,P,2012-01-20 15:10:06,22,,CBOE2,17,0.87,-1479,-5.73,1484.73,0,100,P;O,O,IB9048
09S,53,O,BRCM 18FEB12 33.0 P,BRCM,2012-02-18,33,P,2012-01-20 15:10:06,22,,ISE,2,0.82,-164,-1.45,165.45,0,100,P;O,O,IB9048
09S,54,O,BRCM 18FEB12 33.0 P,BRCM,2012-02-18,33,P,2012-01-20 15:10:06,22,,CBOE,2,0.83,-166,-1.45,167.45,0,100,P;O,O,IB9048
09S,55,S,AXL,AXL,,,,2012-01-20 16:20:00,-800,2012-01-20 12:54:39,CSFBCROSS,300,11.294703,-2116.875,-0.88125,3388.41,-15.05,1,P;O;ST,O,IB9048
09S,56,S,AXL,AXL,,,,2012-01-20 16:20:00,-800,2012-01-20 12:54:39,CSFBCROSS,500,11.294703,-1323.046875,-0.55078125,5647.35,-25.08,1,P;O;ST;ST,O,IB9048
09S,57,O,ALSK 21JAN12 5.0 P,ALSK,2012-01-21,5,P,2012-01-20 16:20:00,24,2011-12-22 00:00:00,NASDAQOM,-24,1.677076,-333.75,-0.22875,-4024.98,0,100,ML;C;ST;ST;ST,C,IB9048
09S,58,O,AXL 21JAN12 11.0 C,AXL,2012-01-21,11,C,2012-01-20 16:20:00,8,2012-01-03 00:00:00,NASDAQOM,-8,0.24475,200,-4.2,-195.8,0,100,O;ST,O,IB9048
09S,59,O,BAC 21JAN12 4.0 P,BAC,2012-01-21,4,P,2012-01-20 16:20:00,19,2011-12-19 00:00:00,CBOE,-19,0.084773,9.48906E-05,-3.47495E-07,-161.07,161.07,100,ML;C;ST;ST;ST;ST;ST;ST;ST;ST;ST,C,IB9048
09S,60,O,BSDM 21JAN12 5.0 C,BSDM,2012-01-21,5,C,2012-01-20 16:20:00,-47,2011-12-22 00:00:00,CBOE,47,0.055225,0.234410218,-0.002182569,259.56,-259.56,100,P;ML;C;ST;ST;ST;ST;ST,C,IB9048
09S,61,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 10:53:24,7,,ISE,1,1.3,-130,-1.02,131.02,0,100,P;O,O,IB9048
09S,62,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 10:53:24,7,,PHLX,1,1.3,-130,-0.42,130.42,0,100,P;O,O,IB9048
09S,63,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 10:53:24,7,,PHLX,1,0.45,-45,-1.02,46.02,0,100,P;O,O,IB9048
09S,64,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 10:53:24,7,,ISE,1,0.45,-45,-0.42,45.42,0,100,P;O,O,IB9048
09S,65,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 10:53:25,7,,PHLX,5,1.3,-650,-3.62,653.62,0,100,P;O,O,IB9048
09S,66,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 10:53:25,7,,PHLX,5,0.45,-225,-3.62,228.62,0,100,P;O,O,IB9048
09S,67,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:26:20,8,,PHLX,1,2.02,-202,-1.02,203.02,0,100,P;O,O,IB9048
09S,68,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:26:20,8,,CBOE2,1,2,-200,-0.05,200.05,0,100,P;O,O,IB9048
09S,69,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:26:20,8,,ISE,1,2.02,-202,-0.72,202.72,0,100,P;O,O,IB9048
09S,70,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:26:20,8,,CBOE2,1,2,-200,-0.65,200.65,0,100,P;O,O,IB9048
09S,71,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:26:20,8,,ISE,1,1.98,-198,-0.42,198.42,0,100,P;O,O,IB9048
09S,72,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:26:20,8,,PHLX,1,1.98,-198,-0.72,198.72,0,100,P;O,O,IB9048
09S,73,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:27:34,8,,CBOE2,1,2.04,-204,-0.35,204.35,0,100,P;O,O,IB9048
09S,74,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:27:34,8,,CBOE2,1,1.96,-196,-0.35,196.35,0,100,P;O,O,IB9048
09S,75,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:27:47,8,,PSE,1,2.03,-203,-1.17,204.17,0,100,P;O,O,IB9048
